AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
CHIANTI-FIRENZE;032 Firenze Forlanini;202105;15;7;8;46.67
CHIANTI-FIRENZE;032 Firenze Forlanini;202106;1;4;-3;400.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202107;3;0;3;0.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202108;7;10;-3;142.86
CHIANTI-FIRENZE;032 Firenze Forlanini;202109;1;0;1;0.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202110;2;1;1;50.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202111;7;6;1;85.71
CHIANTI-FIRENZE;032 Firenze Forlanini;202112;6;2;4;33.33
CHIANTI-FIRENZE;032 Firenze Forlanini;202203;5;3;2;60.00
CHIANTI-FIRENZE;032 Firenze Forlanini;202204;1;3;-2;300.00
CHIANTI-FIRENZE;032 Firenze Forlanini;TOTALE;65;45;20;69.23
CHIANTI-FIRENZE;033 Firenze Savonarola;202101;2;0;2;0.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202102;3;2;1;66.67
CHIANTI-FIRENZE;033 Firenze Savonarola;202103;2;5;-3;250.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202105;7;3;4;42.86
CHIANTI-FIRENZE;033 Firenze Savonarola;202106;0;3;-3;
CHIANTI-FIRENZE;033 Firenze Savonarola;202107;2;1;1;50.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202108;2;4;-2;200.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202109;3;0;3;0.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202110;1;3;-2;300.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202111;5;5;0;100.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202112;2;1;1;50.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202201;1;1;0;100.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202202;0;1;-1;
CHIANTI-FIRENZE;033 Firenze Savonarola;202203;1;7;-6;700.00
CHIANTI-FIRENZE;033 Firenze Savonarola;202204;0;3;-3;
CHIANTI-FIRENZE;033 Firenze Savonarola;TOTALE;31;39;-8;125.81
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202101;2;1;1;50.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202102;1;3;-2;300.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202103;3;0;3;0.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202105;5;4;1;80.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202106;0;2;-2;
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202107;0;1;-1;
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202108;3;4;-1;133.33
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202109;1;3;-2;300.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202110;1;1;0;100.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202111;4;0;4;0.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202112;1;2;-1;200.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202201;0;2;-2;
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202202;1;0;1;0.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202203;4;6;-2;150.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;202204;3;9;-6;300.00
CHIANTI-FIRENZE;035 Firenze Campo di Marte;TOTALE;29;38;-9;131.03
CHIANTI-FIRENZE; Firenze Campo di Marte;TOTALE;736;469;267;63.72
PISTOIA-TIRRENO;050 San Miniato ;202101;1;1;0;100.00
PISTOIA-TIRRENO;050 San Miniato ;202102;3;2;1;66.67
PISTOIA-TIRRENO;050 San Miniato ;202103;4;3;1;75.00
PISTOIA-TIRRENO;050 San Miniato ;202105;11;1;10;9.09
PISTOIA-TIRRENO;050 San Miniato ;202106;1;0;1;0.00
PISTOIA-TIRRENO;050 San Miniato ;202107;1;0;1;0.00
PISTOIA-TIRRENO;050 San Miniato ;202108;4;0;4;0.00
PISTOIA-TIRRENO;050 San Miniato ;202109;4;1;3;25.00
PISTOIA-TIRRENO;050 San Miniato ;202111;6;1;5;16.67
PISTOIA-TIRRENO;050 San Miniato ;202112;2;1;1;50.00
PISTOIA-TIRRENO;050 San Miniato ;202201;1;2;-1;200.00
PISTOIA-TIRRENO;050 San Miniato ;202202;1;0;1;0.00
PISTOIA-TIRRENO;050 San Miniato ;202203;2;2;0;100.00
PISTOIA-TIRRENO;050 San Miniato ;202204;1;0;1;0.00
PISTOIA-TIRRENO;050 San Miniato ;TOTALE;42;14;28;33.33
PISTOIA-TIRRENO;053 Pisa ;202101;3;1;2;33.33
PISTOIA-TIRRENO;053 Pisa ;202102;5;3;2;60.00
PISTOIA-TIRRENO;053 Pisa ;202103;9;1;8;11.11
PISTOIA-TIRRENO;053 Pisa ;202105;12;5;7;41.67
PISTOIA-TIRRENO;053 Pisa ;202106;0;1;-1;
PISTOIA-TIRRENO;053 Pisa ;202107;4;0;4;0.00
PISTOIA-TIRRENO;053 Pisa ;202108;5;1;4;20.00
PISTOIA-TIRRENO;053 Pisa ;202109;2;0;2;0.00
PISTOIA-TIRRENO;053 Pisa ;202110;4;0;4;0.00
PISTOIA-TIRRENO;053 Pisa ;202111;5;0;5;0.00
PISTOIA-TIRRENO;053 Pisa ;202112;5;0;5;0.00
PISTOIA-TIRRENO;053 Pisa ;202202;1;0;1;0.00
PISTOIA-TIRRENO;053 Pisa ;202203;9;3;6;33.33
PISTOIA-TIRRENO;053 Pisa ;202204;3;1;2;33.33
PISTOIA-TIRRENO;053 Pisa ;TOTALE;67;16;51;23.88
PISTOIA-TIRRENO;054 San Giuliano ;202102;3;1;2;33.33
PISTOIA-TIRRENO;054 San Giuliano ;202103;2;0;2;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202104;1;0;1;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202105;3;0;3;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202106;2;0;2;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202107;3;0;3;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202109;1;0;1;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202110;2;0;2;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202111;4;0;4;0.00
PISTOIA-TIRRENO;054 San Giuliano ;202203;7;1;6;14.29
PISTOIA-TIRRENO;054 San Giuliano ;202204;2;1;1;50.00
PISTOIA-TIRRENO;054 San Giuliano ;TOTALE;30;3;27;10.00
PISTOIA-TIRRENO;055 Livorno ;202101;9;0;9;0.00
PISTOIA-TIRRENO;055 Livorno ;202102;1;1;0;100.00
PISTOIA-TIRRENO;055 Livorno ;202103;6;0;6;0.00
PISTOIA-TIRRENO;055 Livorno ;202105;14;0;14;0.00
PISTOIA-TIRRENO;055 Livorno ;202107;2;0;2;0.00
PISTOIA-TIRRENO;055 Livorno ;202108;1;1;0;100.00
PISTOIA-TIRRENO;055 Livorno ;202109;3;0;3;0.00
PISTOIA-TIRRENO;055 Livorno ;202110;4;0;4;0.00
PISTOIA-TIRRENO;055 Livorno ;202111;13;0;13;0.00
PISTOIA-TIRRENO;055 Livorno ;202112;2;1;1;50.00
PISTOIA-TIRRENO;055 Livorno ;202201;4;1;3;25.00
PISTOIA-TIRRENO;055 Livorno ;202203;6;1;5;16.67
PISTOIA-TIRRENO;055 Livorno ;202204;6;0;6;0.00
PISTOIA-TIRRENO;055 Livorno ;TOTALE;71;5;66;7.04
PISTOIA-TIRRENO;060 Chiazzano ;202101;0;2;-2;
PISTOIA-TIRRENO;060 Chiazzano ;202102;6;4;2;66.67
PISTOIA-TIRRENO;060 Chiazzano ;202103;10;8;2;80.00
PISTOIA-TIRRENO;060 Chiazzano ;202104;0;1;-1;
PISTOIA-TIRRENO;060 Chiazzano ;202105;10;5;5;50.00
PISTOIA-TIRRENO;060 Chiazzano ;202106;1;3;-2;300.00
PISTOIA-TIRRENO;060 Chiazzano ;202107;7;0;7;0.00
PISTOIA-TIRRENO;060 Chiazzano ;202108;3;4;-1;133.33
PISTOIA-TIRRENO;060 Chiazzano ;202109;1;0;1;0.00
PISTOIA-TIRRENO;060 Chiazzano ;202110;3;2;1;66.67
PISTOIA-TIRRENO;060 Chiazzano ;202111;8;3;5;37.50
PISTOIA-TIRRENO;060 Chiazzano ;202112;0;3;-3;
PISTOIA-TIRRENO;060 Chiazzano ;202201;1;2;-1;200.00
PISTOIA-TIRRENO;060 Chiazzano ;202202;2;2;0;100.00
PISTOIA-TIRRENO;060 Chiazzano ;202203;29;9;20;31.03
PISTOIA-TIRRENO;060 Chiazzano ;202204;10;3;7;30.00
PISTOIA-TIRRENO;060 Chiazzano ;202205;1;0;1;0.00
PISTOIA-TIRRENO;060 Chiazzano ;TOTALE;92;51;41;55.43
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202101;3;6;-3;200.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202102;3;13;-10;433.33
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202103;8;14;-6;175.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202104;0;3;-3;
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202105;14;4;10;28.57
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202106;1;6;-5;600.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202107;2;0;2;0.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202108;4;1;3;25.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202109;4;1;3;25.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202110;4;2;2;50.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202111;6;7;-1;116.67
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202112;6;5;1;83.33
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202201;0;2;-2;
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202202;2;6;-4;300.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202203;10;10;0;100.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;202204;2;3;-1;150.00
PISTOIA-TIRRENO;061 Pistoia Guerrazzi;TOTALE;69;83;-14;120.29
PISTOIA-TIRRENO;062 Montale ;202101;8;1;7;12.50
PISTOIA-TIRRENO;062 Montale ;202102;1;6;-5;600.00
PISTOIA-TIRRENO;062 Montale ;202103;3;8;-5;266.67
PISTOIA-TIRRENO;062 Montale ;202104;0;2;-2;
PISTOIA-TIRRENO;062 Montale ;202105;5;0;5;0.00
PISTOIA-TIRRENO;062 Montale ;202106;0;2;-2;
PISTOIA-TIRRENO;062 Montale ;202107;1;0;1;0.00
PISTOIA-TIRRENO;062 Montale ;202109;3;1;2;33.33
PISTOIA-TIRRENO;062 Montale ;202110;1;4;-3;400.00
PISTOIA-TIRRENO;062 Montale ;202111;5;5;0;100.00
PISTOIA-TIRRENO;062 Montale ;202112;2;3;-1;150.00
PISTOIA-TIRRENO;062 Montale ;202201;1;2;-1;200.00
PISTOIA-TIRRENO;062 Montale ;202202;7;0;7;0.00
PISTOIA-TIRRENO;062 Montale ;202203;1;3;-2;300.00
PISTOIA-TIRRENO;062 Montale ;202204;2;4;-2;200.00
PISTOIA-TIRRENO;062 Montale ;TOTALE;40;41;-1;102.50
PISTOIA-TIRRENO;063 Pistoia Centro ;202101;0;1;-1;
PISTOIA-TIRRENO;063 Pistoia Centro ;202102;4;2;2;50.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202103;8;3;5;37.50
PISTOIA-TIRRENO;063 Pistoia Centro ;202104;0;1;-1;
PISTOIA-TIRRENO;063 Pistoia Centro ;202105;11;2;9;18.18
PISTOIA-TIRRENO;063 Pistoia Centro ;202106;1;1;0;100.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202107;6;0;6;0.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202108;2;0;2;0.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202109;2;0;2;0.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202110;2;2;0;100.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202111;4;1;3;25.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202112;2;1;1;50.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202201;3;2;1;66.67
PISTOIA-TIRRENO;063 Pistoia Centro ;202202;7;0;7;0.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202203;3;3;0;100.00
PISTOIA-TIRRENO;063 Pistoia Centro ;202204;2;1;1;50.00
PISTOIA-TIRRENO;063 Pistoia Centro ;TOTALE;57;20;37;35.09
PISTOIA-TIRRENO;064 Montemurlo ;202101;1;1;0;100.00
PISTOIA-TIRRENO;064 Montemurlo ;202102;3;3;0;100.00
PISTOIA-TIRRENO;064 Montemurlo ;202103;2;2;0;100.00
PISTOIA-TIRRENO;064 Montemurlo ;202105;11;1;10;9.09
PISTOIA-TIRRENO;064 Montemurlo ;202106;2;1;1;50.00
PISTOIA-TIRRENO;064 Montemurlo ;202107;3;0;3;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202108;3;0;3;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202109;3;0;3;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202110;4;0;4;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202111;6;1;5;16.67
PISTOIA-TIRRENO;064 Montemurlo ;202112;3;1;2;33.33
PISTOIA-TIRRENO;064 Montemurlo ;202202;2;0;2;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202203;7;0;7;0.00
PISTOIA-TIRRENO;064 Montemurlo ;202204;3;0;3;0.00
PISTOIA-TIRRENO;064 Montemurlo ;TOTALE;53;10;43;18.87
PISTOIA-TIRRENO;066 La Colonna ;202101;4;1;3;25.00
PISTOIA-TIRRENO;066 La Colonna ;202102;1;4;-3;400.00
PISTOIA-TIRRENO;066 La Colonna ;202103;2;3;-1;150.00
PISTOIA-TIRRENO;066 La Colonna ;202105;5;4;1;80.00
PISTOIA-TIRRENO;066 La Colonna ;202106;1;1;0;100.00
PISTOIA-TIRRENO;066 La Colonna ;202107;5;1;4;20.00
PISTOIA-TIRRENO;066 La Colonna ;202108;3;7;-4;233.33
PISTOIA-TIRRENO;066 La Colonna ;202109;3;0;3;0.00
PISTOIA-TIRRENO;066 La Colonna ;202110;4;3;1;75.00
PISTOIA-TIRRENO;066 La Colonna ;202111;5;2;3;40.00
PISTOIA-TIRRENO;066 La Colonna ;202112;3;1;2;33.33
PISTOIA-TIRRENO;066 La Colonna ;202203;1;1;0;100.00
PISTOIA-TIRRENO;066 La Colonna ;202204;4;0;4;0.00
PISTOIA-TIRRENO;066 La Colonna ;TOTALE;41;28;13;68.29
PISTOIA-TIRRENO; La Colonna ;TOTALE;562;271;291;48.22
SIENA;000 Fontebecci ;202101;9;6;3;66.67
SIENA;000 Fontebecci ;202102;1;5;-4;500.00
SIENA;000 Fontebecci ;202103;28;7;21;25.00
SIENA;000 Fontebecci ;202104;0;5;-5;
SIENA;000 Fontebecci ;202105;27;9;18;33.33
SIENA;000 Fontebecci ;202106;3;5;-2;166.67
SIENA;000 Fontebecci ;202107;16;4;12;25.00
SIENA;000 Fontebecci ;202108;32;11;21;34.38
SIENA;000 Fontebecci ;202109;4;1;3;25.00
SIENA;000 Fontebecci ;202110;8;5;3;62.50
SIENA;000 Fontebecci ;202111;9;11;-2;122.22
SIENA;000 Fontebecci ;202112;5;12;-7;240.00
SIENA;000 Fontebecci ;202201;7;6;1;85.71
SIENA;000 Fontebecci ;202202;11;9;2;81.82
SIENA;000 Fontebecci ;202203;9;9;0;100.00
SIENA;000 Fontebecci ;202204;8;6;2;75.00
SIENA;000 Fontebecci ;TOTALE;177;111;66;62.71
SIENA;001 Colle ;202101;2;2;0;100.00
SIENA;001 Colle ;202102;4;4;0;100.00
SIENA;001 Colle ;202103;6;5;1;83.33
SIENA;001 Colle ;202104;1;0;1;0.00
SIENA;001 Colle ;202105;30;3;27;10.00
SIENA;001 Colle ;202106;0;1;-1;
SIENA;001 Colle ;202107;6;0;6;0.00
SIENA;001 Colle ;202108;7;0;7;0.00
SIENA;001 Colle ;202109;5;1;4;20.00
SIENA;001 Colle ;202110;10;2;8;20.00
SIENA;001 Colle ;202111;7;3;4;42.86
SIENA;001 Colle ;202112;6;2;4;33.33
SIENA;001 Colle ;202201;2;1;1;50.00
SIENA;001 Colle ;202202;6;0;6;0.00
SIENA;001 Colle ;202203;9;3;6;33.33
SIENA;001 Colle ;202204;7;3;4;42.86
SIENA;001 Colle ;202205;1;0;1;0.00
SIENA;001 Colle ;TOTALE;109;30;79;27.52
SIENA;002 Siena Montanini;202101;2;0;2;0.00
SIENA;002 Siena Montanini;202102;4;9;-5;225.00
SIENA;002 Siena Montanini;202103;12;4;8;33.33
SIENA;002 Siena Montanini;202104;0;1;-1;
SIENA;002 Siena Montanini;202105;13;4;9;30.77
SIENA;002 Siena Montanini;202106;1;5;-4;500.00
SIENA;002 Siena Montanini;202107;5;3;2;60.00
SIENA;002 Siena Montanini;202108;9;1;8;11.11
SIENA;002 Siena Montanini;202109;5;2;3;40.00
SIENA;002 Siena Montanini;202110;4;3;1;75.00
SIENA;002 Siena Montanini;202111;16;2;14;12.50
SIENA;002 Siena Montanini;202112;6;3;3;50.00
SIENA;002 Siena Montanini;202201;5;1;4;20.00
SIENA;002 Siena Montanini;202202;2;2;0;100.00
SIENA;002 Siena Montanini;202203;14;3;11;21.43
SIENA;002 Siena Montanini;202204;6;3;3;50.00
SIENA;002 Siena Montanini;TOTALE;104;46;58;44.23
SIENA;003 Poggibonsi ;202101;5;1;4;20.00
SIENA;003 Poggibonsi ;202102;6;5;1;83.33
SIENA;003 Poggibonsi ;202103;8;3;5;37.50
SIENA;003 Poggibonsi ;202105;26;2;24;7.69
SIENA;003 Poggibonsi ;202106;1;1;0;100.00
SIENA;003 Poggibonsi ;202107;5;1;4;20.00
SIENA;003 Poggibonsi ;202108;8;3;5;37.50
SIENA;003 Poggibonsi ;202109;4;0;4;0.00
SIENA;003 Poggibonsi ;202110;11;1;10;9.09
SIENA;003 Poggibonsi ;202111;9;5;4;55.56
SIENA;003 Poggibonsi ;202112;6;1;5;16.67
SIENA;003 Poggibonsi ;202201;8;1;7;12.50
SIENA;003 Poggibonsi ;202203;6;3;3;50.00
SIENA;003 Poggibonsi ;202204;12;5;7;41.67
SIENA;003 Poggibonsi ;TOTALE;115;32;83;27.83
SIENA;004 Castelnuovo ;202101;3;1;2;33.33
SIENA;004 Castelnuovo ;202102;3;1;2;33.33
SIENA;004 Castelnuovo ;202103;3;2;1;66.67
SIENA;004 Castelnuovo ;202105;5;1;4;20.00
SIENA;004 Castelnuovo ;202106;0;1;-1;
SIENA;004 Castelnuovo ;202107;2;0;2;0.00
SIENA;004 Castelnuovo ;202108;6;0;6;0.00
SIENA;004 Castelnuovo ;202110;2;0;2;0.00
SIENA;004 Castelnuovo ;202111;2;1;1;50.00
SIENA;004 Castelnuovo ;202112;0;4;-4;
SIENA;004 Castelnuovo ;202201;1;0;1;0.00
SIENA;004 Castelnuovo ;202202;2;0;2;0.00
SIENA;004 Castelnuovo ;202203;1;1;0;100.00
SIENA;004 Castelnuovo ;202204;3;2;1;66.67
SIENA;004 Castelnuovo ;TOTALE;33;14;19;42.42
SIENA;005 Siena Porta Pispini;202101;2;3;-1;150.00
SIENA;005 Siena Porta Pispini;202102;4;0;4;0.00
SIENA;005 Siena Porta Pispini;202103;5;3;2;60.00
SIENA;005 Siena Porta Pispini;202105;10;4;6;40.00
SIENA;005 Siena Porta Pispini;202106;0;2;-2;
SIENA;005 Siena Porta Pispini;202107;3;0;3;0.00
SIENA;005 Siena Porta Pispini;202108;4;3;1;75.00
SIENA;005 Siena Porta Pispini;202109;1;2;-1;200.00
SIENA;005 Siena Porta Pispini;202110;2;2;0;100.00
SIENA;005 Siena Porta Pispini;202111;8;3;5;37.50
SIENA;005 Siena Porta Pispini;202112;12;0;12;0.00
SIENA;005 Siena Porta Pispini;202201;4;3;1;75.00
SIENA;005 Siena Porta Pispini;202202;1;0;1;0.00
SIENA;005 Siena Porta Pispini;202203;3;6;-3;200.00
SIENA;005 Siena Porta Pispini;202204;3;5;-2;166.67
SIENA;005 Siena Porta Pispini;TOTALE;62;36;26;58.06
SIENA;051 Montalcino ;202102;1;2;-1;200.00
SIENA;051 Montalcino ;202103;1;3;-2;300.00
SIENA;051 Montalcino ;202105;6;1;5;16.67
SIENA;051 Montalcino ;202107;2;1;1;50.00
SIENA;051 Montalcino ;202108;1;2;-1;200.00
SIENA;051 Montalcino ;202110;2;0;2;0.00
SIENA;051 Montalcino ;202111;6;2;4;33.33
SIENA;051 Montalcino ;202112;5;1;4;20.00
SIENA;051 Montalcino ;202202;1;1;0;100.00
SIENA;051 Montalcino ;202203;5;2;3;40.00
SIENA;051 Montalcino ;202204;1;0;1;0.00
SIENA;051 Montalcino ;TOTALE;31;15;16;48.39
SIENA;056 Arezzo ;202101;3;0;3;0.00
SIENA;056 Arezzo ;202102;3;0;3;0.00
SIENA;056 Arezzo ;202103;3;1;2;33.33
SIENA;056 Arezzo ;202108;2;0;2;0.00
SIENA;056 Arezzo ;202109;2;0;2;0.00
SIENA;056 Arezzo ;202110;1;0;1;0.00
SIENA;056 Arezzo ;202111;2;0;2;0.00
SIENA;056 Arezzo ;202202;1;0;1;0.00
SIENA;056 Arezzo ;TOTALE;17;1;16;5.88
SIENA; Arezzo ;TOTALE;648;285;363;43.98
_Chiusa_;009 San Gimignano (chiusa);202102;0;1;-1;
_Chiusa_;009 San Gimignano (chiusa);202103;3;1;2;33.33
_Chiusa_;009 San Gimignano (chiusa);202104;0;1;-1;
_Chiusa_;009 San Gimignano (chiusa);202105;3;1;2;33.33
_Chiusa_;009 San Gimignano (chiusa);202106;0;1;-1;
_Chiusa_;009 San Gimignano (chiusa);202107;1;0;1;0.00
_Chiusa_;009 San Gimignano (chiusa);202108;0;2;-2;
_Chiusa_;009 San Gimignano (chiusa);202109;1;0;1;0.00
_Chiusa_;009 San Gimignano (chiusa);202110;1;3;-2;300.00
_Chiusa_;009 San Gimignano (chiusa);202111;2;0;2;0.00
_Chiusa_;009 San Gimignano (chiusa);202112;1;0;1;0.00
_Chiusa_;009 San Gimignano (chiusa);202201;0;1;-1;
_Chiusa_;009 San Gimignano (chiusa);202202;2;0;2;0.00
_Chiusa_;009 San Gimignano (chiusa);202203;2;1;1;50.00
_Chiusa_;009 San Gimignano (chiusa);202204;1;0;1;0.00
_Chiusa_;009 San Gimignano (chiusa);TOTALE;17;12;5;70.59
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202101;1;0;1;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202102;1;2;-1;200.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202103;1;0;1;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202105;8;3;5;37.50
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202106;1;1;0;100.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202107;4;0;4;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202108;3;3;0;100.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202109;2;1;1;50.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202110;5;0;5;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202111;2;0;2;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202112;4;1;3;25.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202201;1;1;0;100.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202202;2;0;2;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202203;3;2;1;66.67
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);202204;3;0;3;0.00
_Chiusa_;068 Pistoia Sant'Agostino (chiusa);TOTALE;41;14;27;34.15
_Chiusa_;076 Seano ;202101;1;2;-1;200.00
_Chiusa_;076 Seano ;202102;2;3;-1;150.00
_Chiusa_;076 Seano ;202103;2;2;0;100.00
_Chiusa_;076 Seano ;202105;5;3;2;60.00
_Chiusa_;076 Seano ;202106;0;1;-1;
_Chiusa_;076 Seano ;202107;1;2;-1;200.00
_Chiusa_;076 Seano ;202108;2;0;2;0.00
_Chiusa_;076 Seano ;202109;1;1;0;100.00
_Chiusa_;076 Seano ;202110;2;0;2;0.00
_Chiusa_;076 Seano ;202111;4;2;2;50.00
_Chiusa_;076 Seano ;202112;6;4;2;66.67
_Chiusa_;076 Seano ;202202;2;1;1;50.00
_Chiusa_;076 Seano ;202203;4;6;-2;150.00
_Chiusa_;076 Seano ;202204;4;5;-1;125.00
_Chiusa_;076 Seano ;TOTALE;36;32;4;88.89
_Chiusa_; Seano ;TOTALE;94;58;36;61.70
; Seano ;TOTALE;2524;1387;1137;54.95
