AnnoMeseEvento;TOTALE_IN;qta_CF_IN;qta_SI_IN;qta_PT_IN;qta_CP_IN;qta_CI_IN;TOTALE_OUT;qta_CF_OUT;qta_SI_OUT;qta_PT_OUT;qta_CP_OUT;qta_CI_OUT
CAMPI-PRATO;036 Empoli ;202105;8;2;6;25.00
CAMPI-PRATO;036 Empoli ;202107;8;0;8;0.00
CAMPI-PRATO;036 Empoli ;202108;1;2;-1;200.00
CAMPI-PRATO;036 Empoli ;202109;2;1;1;50.00
CAMPI-PRATO;036 Empoli ;202110;1;2;-1;200.00
CAMPI-PRATO;036 Empoli ;202111;11;3;8;27.27
CAMPI-PRATO;036 Empoli ;202112;2;1;1;50.00
CAMPI-PRATO;036 Empoli ;202201;1;1;0;100.00
CAMPI-PRATO;036 Empoli ;202202;6;0;6;0.00
CAMPI-PRATO;036 Empoli ;202203;8;5;3;62.50
CAMPI-PRATO;036 Empoli ;202204;6;2;4;33.33
CAMPI-PRATO;036 Empoli ;TOTALE;70;28;42;40.00
CAMPI-PRATO;040 Campi Buozzi ;202101;4;2;2;50.00
CAMPI-PRATO;040 Campi Buozzi ;202102;5;5;0;100.00
CAMPI-PRATO;040 Campi Buozzi ;202103;15;4;11;26.67
CAMPI-PRATO;040 Campi Buozzi ;202104;0;4;-4;
CAMPI-PRATO;040 Campi Buozzi ;202105;20;2;18;10.00
CAMPI-PRATO;040 Campi Buozzi ;202106;0;1;-1;
CAMPI-PRATO;040 Campi Buozzi ;202107;14;3;11;21.43
CAMPI-PRATO;040 Campi Buozzi ;202108;13;5;8;38.46
CAMPI-PRATO;040 Campi Buozzi ;202109;1;2;-1;200.00
CAMPI-PRATO;040 Campi Buozzi ;202110;5;3;2;60.00
CAMPI-PRATO;040 Campi Buozzi ;202111;7;2;5;28.57
CAMPI-PRATO;040 Campi Buozzi ;202112;2;4;-2;200.00
CAMPI-PRATO;040 Campi Buozzi ;202201;1;4;-3;400.00
CAMPI-PRATO;040 Campi Buozzi ;202202;5;0;5;0.00
CAMPI-PRATO;040 Campi Buozzi ;202203;6;2;4;33.33
CAMPI-PRATO;040 Campi Buozzi ;202204;17;3;14;17.65
CAMPI-PRATO;040 Campi Buozzi ;TOTALE;115;46;69;40.00
CAMPI-PRATO;041 Calenzano ;202101;2;1;1;50.00
CAMPI-PRATO;041 Calenzano ;202102;3;1;2;33.33
CAMPI-PRATO;041 Calenzano ;202103;5;2;3;40.00
CAMPI-PRATO;041 Calenzano ;202105;12;2;10;16.67
CAMPI-PRATO;041 Calenzano ;202106;2;1;1;50.00
CAMPI-PRATO;041 Calenzano ;202107;1;1;0;100.00
CAMPI-PRATO;041 Calenzano ;202108;3;3;0;100.00
CAMPI-PRATO;041 Calenzano ;202109;5;1;4;20.00
CAMPI-PRATO;041 Calenzano ;202110;5;1;4;20.00
CAMPI-PRATO;041 Calenzano ;202111;4;1;3;25.00
CAMPI-PRATO;041 Calenzano ;202112;2;2;0;100.00
CAMPI-PRATO;041 Calenzano ;202201;5;3;2;60.00
CAMPI-PRATO;041 Calenzano ;202202;1;0;1;0.00
CAMPI-PRATO;041 Calenzano ;202203;8;2;6;25.00
CAMPI-PRATO;041 Calenzano ;202204;1;2;-1;200.00
CAMPI-PRATO;041 Calenzano ;TOTALE;59;23;36;38.98
CAMPI-PRATO;043 Prato Ferrucci;202101;5;4;1;80.00
CAMPI-PRATO;043 Prato Ferrucci;202102;4;6;-2;150.00
CAMPI-PRATO;043 Prato Ferrucci;202103;5;8;-3;160.00
CAMPI-PRATO;043 Prato Ferrucci;202105;10;7;3;70.00
CAMPI-PRATO;043 Prato Ferrucci;202106;0;4;-4;
CAMPI-PRATO;043 Prato Ferrucci;202107;3;0;3;0.00
CAMPI-PRATO;043 Prato Ferrucci;202108;7;9;-2;128.57
CAMPI-PRATO;043 Prato Ferrucci;202109;3;2;1;66.67
CAMPI-PRATO;043 Prato Ferrucci;202110;1;2;-1;200.00
CAMPI-PRATO;043 Prato Ferrucci;202111;5;3;2;60.00
CAMPI-PRATO;043 Prato Ferrucci;202112;3;6;-3;200.00
CAMPI-PRATO;043 Prato Ferrucci;202201;2;1;1;50.00
CAMPI-PRATO;043 Prato Ferrucci;202202;2;3;-1;150.00
CAMPI-PRATO;043 Prato Ferrucci;202203;4;13;-9;325.00
CAMPI-PRATO;043 Prato Ferrucci;202204;2;2;0;100.00
CAMPI-PRATO;043 Prato Ferrucci;TOTALE;56;70;-14;125.00
CAMPI-PRATO;044 Sesto Fiorentino ;202101;0;1;-1;
CAMPI-PRATO;044 Sesto Fiorentino ;202102;0;5;-5;
CAMPI-PRATO;044 Sesto Fiorentino ;202103;5;2;3;40.00
CAMPI-PRATO;044 Sesto Fiorentino ;202105;10;3;7;30.00
CAMPI-PRATO;044 Sesto Fiorentino ;202106;0;2;-2;
CAMPI-PRATO;044 Sesto Fiorentino ;202107;4;0;4;0.00
CAMPI-PRATO;044 Sesto Fiorentino ;202108;7;3;4;42.86
CAMPI-PRATO;044 Sesto Fiorentino ;202109;2;0;2;0.00
CAMPI-PRATO;044 Sesto Fiorentino ;202110;1;2;-1;200.00
CAMPI-PRATO;044 Sesto Fiorentino ;202111;3;0;3;0.00
CAMPI-PRATO;044 Sesto Fiorentino ;202112;6;1;5;16.67
CAMPI-PRATO;044 Sesto Fiorentino ;202201;6;1;5;16.67
CAMPI-PRATO;044 Sesto Fiorentino ;202202;1;1;0;100.00
CAMPI-PRATO;044 Sesto Fiorentino ;202203;8;1;7;12.50
CAMPI-PRATO;044 Sesto Fiorentino ;202204;3;4;-1;133.33
CAMPI-PRATO;044 Sesto Fiorentino ;TOTALE;56;26;30;46.43
CAMPI-PRATO;067 Prato Via Galilei ;202101;1;1;0;100.00
CAMPI-PRATO;067 Prato Via Galilei ;202102;0;1;-1;
CAMPI-PRATO;067 Prato Via Galilei ;202103;6;1;5;16.67
CAMPI-PRATO;067 Prato Via Galilei ;202105;4;2;2;50.00
CAMPI-PRATO;067 Prato Via Galilei ;202106;0;1;-1;
CAMPI-PRATO;067 Prato Via Galilei ;202108;3;1;2;33.33
CAMPI-PRATO;067 Prato Via Galilei ;202109;1;0;1;0.00
CAMPI-PRATO;067 Prato Via Galilei ;202110;2;1;1;50.00
CAMPI-PRATO;067 Prato Via Galilei ;202111;5;0;5;0.00
CAMPI-PRATO;067 Prato Via Galilei ;202112;1;0;1;0.00
CAMPI-PRATO;067 Prato Via Galilei ;202201;1;3;-2;300.00
CAMPI-PRATO;067 Prato Via Galilei ;202202;0;2;-2;
CAMPI-PRATO;067 Prato Via Galilei ;202203;5;3;2;60.00
CAMPI-PRATO;067 Prato Via Galilei ;202204;2;1;1;50.00
CAMPI-PRATO;067 Prato Via Galilei ;TOTALE;31;17;14;54.84
CAMPI-PRATO;070 Carmignano ;202101;4;3;1;75.00
CAMPI-PRATO;070 Carmignano ;202102;3;1;2;33.33
CAMPI-PRATO;070 Carmignano ;202103;2;4;-2;200.00
CAMPI-PRATO;070 Carmignano ;202105;3;1;2;33.33
CAMPI-PRATO;070 Carmignano ;202106;0;1;-1;
CAMPI-PRATO;070 Carmignano ;202107;1;1;0;100.00
CAMPI-PRATO;070 Carmignano ;202108;2;3;-1;150.00
CAMPI-PRATO;070 Carmignano ;202110;1;2;-1;200.00
CAMPI-PRATO;070 Carmignano ;202111;2;2;0;100.00
CAMPI-PRATO;070 Carmignano ;202112;1;1;0;100.00
CAMPI-PRATO;070 Carmignano ;202201;1;1;0;100.00
CAMPI-PRATO;070 Carmignano ;202202;1;2;-1;200.00
CAMPI-PRATO;070 Carmignano ;202203;6;2;4;33.33
CAMPI-PRATO;070 Carmignano ;202204;2;1;1;50.00
CAMPI-PRATO;070 Carmignano ;TOTALE;29;25;4;86.21
CAMPI-PRATO;071 Poggio a Caiano ;202101;2;1;1;50.00
CAMPI-PRATO;071 Poggio a Caiano ;202102;1;5;-4;500.00
CAMPI-PRATO;071 Poggio a Caiano ;202103;1;4;-3;400.00
CAMPI-PRATO;071 Poggio a Caiano ;202104;0;1;-1;
CAMPI-PRATO;071 Poggio a Caiano ;202105;8;5;3;62.50
CAMPI-PRATO;071 Poggio a Caiano ;202106;0;2;-2;
CAMPI-PRATO;071 Poggio a Caiano ;202107;4;1;3;25.00
CAMPI-PRATO;071 Poggio a Caiano ;202108;1;3;-2;300.00
CAMPI-PRATO;071 Poggio a Caiano ;202109;0;1;-1;
CAMPI-PRATO;071 Poggio a Caiano ;202110;1;0;1;0.00
CAMPI-PRATO;071 Poggio a Caiano ;202111;1;2;-1;200.00
CAMPI-PRATO;071 Poggio a Caiano ;202112;1;1;0;100.00
CAMPI-PRATO;071 Poggio a Caiano ;202201;0;2;-2;
CAMPI-PRATO;071 Poggio a Caiano ;202202;0;2;-2;
CAMPI-PRATO;071 Poggio a Caiano ;202203;2;2;0;100.00
CAMPI-PRATO;071 Poggio a Caiano ;202204;3;0;3;0.00
CAMPI-PRATO;071 Poggio a Caiano ;TOTALE;25;32;-7;128.00
CAMPI-PRATO;073 Tobbiana ;202101;1;1;0;100.00
CAMPI-PRATO;073 Tobbiana ;202102;0;1;-1;
CAMPI-PRATO;073 Tobbiana ;202103;4;3;1;75.00
CAMPI-PRATO;073 Tobbiana ;202105;4;1;3;25.00
CAMPI-PRATO;073 Tobbiana ;202107;5;2;3;40.00
CAMPI-PRATO;073 Tobbiana ;202108;4;1;3;25.00
CAMPI-PRATO;073 Tobbiana ;202109;1;0;1;0.00
CAMPI-PRATO;073 Tobbiana ;202110;2;2;0;100.00
CAMPI-PRATO;073 Tobbiana ;202111;2;0;2;0.00
CAMPI-PRATO;073 Tobbiana ;202112;2;2;0;100.00
CAMPI-PRATO;073 Tobbiana ;202201;1;2;-1;200.00
CAMPI-PRATO;073 Tobbiana ;202202;1;1;0;100.00
CAMPI-PRATO;073 Tobbiana ;202203;6;2;4;33.33
CAMPI-PRATO;073 Tobbiana ;202204;1;2;-1;200.00
CAMPI-PRATO;073 Tobbiana ;TOTALE;34;20;14;58.82
CAMPI-PRATO; Tobbiana ;TOTALE;475;287;188;60.42
CENTRO IMPRESE;100 Centro Imprese;202101;1;1;0;100.00
CENTRO IMPRESE;100 Centro Imprese;202102;0;1;-1;
CENTRO IMPRESE;100 Centro Imprese;202103;1;0;1;0.00
CENTRO IMPRESE;100 Centro Imprese;202104;0;1;-1;
CENTRO IMPRESE;100 Centro Imprese;202105;1;4;-3;400.00
CENTRO IMPRESE;100 Centro Imprese;202106;0;1;-1;
CENTRO IMPRESE;100 Centro Imprese;202107;0;1;-1;
CENTRO IMPRESE;100 Centro Imprese;202108;2;1;1;50.00
