Fascia;Area;AnnoMeseEvento;qta
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202106;5
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202107;17
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202108;15
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202109;10
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202110;13
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202111;25
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202112;10
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202201;5
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202202;6
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202203;28
Fascia 2 (31-50 anni);PISTOIA-TIRRENO;202204;17
Fascia 2 (31-50 anni);SIENA;202101;11
Fascia 2 (31-50 anni);SIENA;202102;19
Fascia 2 (31-50 anni);SIENA;202103;28
Fascia 2 (31-50 anni);SIENA;202104;1
Fascia 2 (31-50 anni);SIENA;202105;52
Fascia 2 (31-50 anni);SIENA;202106;3
Fascia 2 (31-50 anni);SIENA;202107;20
Fascia 2 (31-50 anni);SIENA;202108;35
Fascia 2 (31-50 anni);SIENA;202109;10
Fascia 2 (31-50 anni);SIENA;202110;17
Fascia 2 (31-50 anni);SIENA;202111;24
Fascia 2 (31-50 anni);SIENA;202112;13
Fascia 2 (31-50 anni);SIENA;202201;14
Fascia 2 (31-50 anni);SIENA;202202;8
Fascia 2 (31-50 anni);SIENA;202203;24
Fascia 2 (31-50 anni);SIENA;202204;16
Fascia 2 (31-50 anni);_Chiusa_;202101;1
Fascia 2 (31-50 anni);_Chiusa_;202102;1
Fascia 2 (31-50 anni);_Chiusa_;202103;2
Fascia 2 (31-50 anni);_Chiusa_;202105;8
Fascia 2 (31-50 anni);_Chiusa_;202107;3
Fascia 2 (31-50 anni);_Chiusa_;202108;2
Fascia 2 (31-50 anni);_Chiusa_;202109;2
Fascia 2 (31-50 anni);_Chiusa_;202110;3
Fascia 2 (31-50 anni);_Chiusa_;202111;2
Fascia 2 (31-50 anni);_Chiusa_;202112;5
Fascia 2 (31-50 anni);_Chiusa_;202202;3
Fascia 2 (31-50 anni);_Chiusa_;202203;5
Fascia 2 (31-50 anni);_Chiusa_;202204;2
Fascia 3 (51-60 anni);CAMPI-PRATO;202101;3
Fascia 3 (51-60 anni);CAMPI-PRATO;202102;2
Fascia 3 (51-60 anni);CAMPI-PRATO;202103;9
Fascia 3 (51-60 anni);CAMPI-PRATO;202105;11
Fascia 3 (51-60 anni);CAMPI-PRATO;202107;8
Fascia 3 (51-60 anni);CAMPI-PRATO;202108;8
Fascia 3 (51-60 anni);CAMPI-PRATO;202109;2
Fascia 3 (51-60 anni);CAMPI-PRATO;202110;3
Fascia 3 (51-60 anni);CAMPI-PRATO;202111;6
Fascia 3 (51-60 anni);CAMPI-PRATO;202112;2
Fascia 3 (51-60 anni);CAMPI-PRATO;202201;1
Fascia 3 (51-60 anni);CAMPI-PRATO;202202;1
Fascia 3 (51-60 anni);CAMPI-PRATO;202203;7
Fascia 3 (51-60 anni);CAMPI-PRATO;202204;8
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202101;9
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202102;10
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202103;7
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202105;16
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202107;7
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202108;10
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202109;1
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202110;2
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202111;12
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202112;4
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202201;1
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202202;4
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202203;11
Fascia 3 (51-60 anni);CHIANTI-FIRENZE;202204;7
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202101;5
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202102;2
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202103;6
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202104;1
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202105;12
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202106;1
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202107;2
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202108;3
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202109;5
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202110;3
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202111;8
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202112;5
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202201;2
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202202;5
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202203;11
Fascia 3 (51-60 anni);PISTOIA-TIRRENO;202204;7
Fascia 3 (51-60 anni);SIENA;202101;3
Fascia 3 (51-60 anni);SIENA;202102;3
Fascia 3 (51-60 anni);SIENA;202103;11
Fascia 3 (51-60 anni);SIENA;202105;18
Fascia 3 (51-60 anni);SIENA;202106;1
Fascia 3 (51-60 anni);SIENA;202107;4
Fascia 3 (51-60 anni);SIENA;202108;11
Fascia 3 (51-60 anni);SIENA;202109;4
Fascia 3 (51-60 anni);SIENA;202110;4
Fascia 3 (51-60 anni);SIENA;202111;12
Fascia 3 (51-60 anni);SIENA;202112;7
Fascia 3 (51-60 anni);SIENA;202201;3
Fascia 3 (51-60 anni);SIENA;202202;5
Fascia 3 (51-60 anni);SIENA;202203;6
Fascia 3 (51-60 anni);SIENA;202204;9
Fascia 3 (51-60 anni);_Chiusa_;202101;1
Fascia 3 (51-60 anni);_Chiusa_;202102;1
Fascia 3 (51-60 anni);_Chiusa_;202105;4
Fascia 3 (51-60 anni);_Chiusa_;202107;1
Fascia 3 (51-60 anni);_Chiusa_;202108;2
Fascia 3 (51-60 anni);_Chiusa_;202111;3
Fascia 3 (51-60 anni);_Chiusa_;202112;2
Fascia 3 (51-60 anni);_Chiusa_;202202;1
Fascia 3 (51-60 anni);_Chiusa_;202203;1
Fascia 3 (51-60 anni);_Chiusa_;202204;2
Fascia 4 (61-70 anni);CAMPI-PRATO;202101;2
Fascia 4 (61-70 anni);CAMPI-PRATO;202102;2
Fascia 4 (61-70 anni);CAMPI-PRATO;202103;6
Fascia 4 (61-70 anni);CAMPI-PRATO;202105;4
Fascia 4 (61-70 anni);CAMPI-PRATO;202107;1
Fascia 4 (61-70 anni);CAMPI-PRATO;202108;2
Fascia 4 (61-70 anni);CAMPI-PRATO;202110;1
Fascia 4 (61-70 anni);CAMPI-PRATO;202111;5
Fascia 4 (61-70 anni);CAMPI-PRATO;202112;1
Fascia 4 (61-70 anni);CAMPI-PRATO;202201;1
Fascia 4 (61-70 anni);CAMPI-PRATO;202203;4
Fascia 4 (61-70 anni);CAMPI-PRATO;202204;6
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202101;1
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202102;4
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202103;8
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202105;10
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202107;5
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202108;7
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202109;3
Fascia 4 (61-70 anni);CHIANTI-FIRENZE;202110;7
